系统/子系统,实现状态,证据文件,风险等级,负责专家
阴间区域 / 黑白无常 / 鬼魂视觉,missing,engine/src/xkx/runtime/governance.py 部分逻辑; 无 /d/death/ 区域,high,MUD 玩法与文化专家
拜师配置 ApprenticeDef / KneelDef,implemented,engine/src/xkx/dsl/layer0.py; runtime/commands.py bai/kneel,low,MUD 玩法与文化专家
门派任务链数据,partial,engine/src/xkx/dsl/layer0.py QuestDef.objectives; 缺少官方 CPK 内容,high,MUD 玩法与文化专家; UGC 平台专家
JSON 存档原子写 / offload / dirty-flag,implemented,engine/src/xkx/runtime/storage.py; tests/test_storage.py,low,游戏服务器架构师
多实体 JSON 存档事务原子性,missing,ADR-0022 台账 #1 已记录但阶段1 未实现,medium,游戏服务器架构师
System 派生变更审计,partial,middleware/s7_execute_audit.py 覆盖 Command; HealSystem/ConditionSystem/GovernanceSystem 直接 mutate 无 ledger,high,游戏服务器架构师; 游戏引擎/ECS 专家; 对抗质证人
call_out / ActionScheduler 统一调度,at_risk,engine/src/xkx/runtime/engine.py 注释提及但无独立实现; call_out 分散于 EffectComp/ConditionSystem/GovernanceSystem/DoorSystem,high,游戏引擎/ECS 专家; DSL 规则引擎专家; 对抗质证人
DSL 层0 声明式数据,partial,engine/src/xkx/dsl/layer0.py,medium,DSL 规则引擎专家; UGC 平台专家
DSL 层1 规则求值器,partial,engine/src/xkx/dsl/layer1.py; runtime/commands.py 调用 valid_leave/accept_object/ask,high,DSL 规则引擎专家; UGC 平台专家
DSL 层2 Ink 对话树,partial,engine/src/xkx/dsl/layer2.py 仅实现 InquiryNode,medium,DSL 规则引擎专家; UGC 平台专家
DSL 层3 RestrictedPython 沙箱,missing,无 engine/src/xkx/dsl/layer3.py; ADR-0053 延后,high,UGC 平台专家; DSL 规则引擎专家; 游戏制作人/范围管理
CPK manifest 与加载器,partial,engine/src/xkx/dsl/cpk.py; dsl/cpk_loader.py; scenes/*/manifest.yaml,medium,UGC 平台专家
四道校验（Schema/Capability/Resource/Dependency）,partial,engine/src/xkx/dsl/validator.py,medium,UGC 平台专家; DSL 规则引擎专家
ThemeRegistry 静态加载,partial,engine/src/xkx/runtime/theme_registry.py; themes/wuxia.py; themes/default.py,medium,UGC 平台专家; DSL 规则引擎专家
capabilities_required 与词汇表绑定,missing,engine/src/xkx/dsl/cpk.py 字段为空列表; theme_registry.py 词汇表为空,high,UGC 平台专家; DSL 规则引擎专家
module_pack 受信任开发者机制,missing,engine/src/xkx/dsl/cpk.py PackType 仅为字符串; orchestrator/loop.py 硬编码 module_pack,high,UGC 平台专家; 对抗质证人
自动化预检 / 审核 pipeline,partial,engine/src/xkx/content_review/precheck.py; content_review/rules.py; content_review/review_status.py,medium,UGC 平台专家; 游戏制作人/范围管理
provenance / 版权追踪,partial,engine/src/xkx/dsl/cpk.py Provenance 字段; orchestrator/loop.py 部分写入,medium,UGC 平台专家; 游戏制作人/范围管理
经济系统 MONEY_D,missing,无对应模块,high,游戏制作人/范围管理
社交频道 / 组队 / 婚姻 / 交易,missing,CHANNEL_D / MARRY_D / F_TEAM 等未迁移,high,游戏制作人/范围管理
NATURE_D / 昼夜天气,missing,无对应模块,medium,游戏制作人/范围管理
坐骑与交通系统,missing,MountComp / VehicleComp / FerryComp 待补,medium,游戏制作人/范围管理
非武侠微场景 e2e,missing,themes/default.py 仅海盗帮 FamilyBonus; 无完整 default 场景,high,游戏制作人/范围管理; 对抗质证人
